date,CPI(2001-01=100),Core_CPI,M2_Growth,DR007,PPI,Oil_Price,PMI_Output_Price,EPUCHINA,Exchange_Rate,Fiscal_Exp_Growth
2001-01-01,100.0,102.09285714285716,135685.99,,,26.66,,97.325448,0.12081818071983473,
2001-02-01,99.207135777998,101.88714285714286,134390.49,,,25.57,,65.150244,0.12080358545041615,1778.1
2001-03-01,98.51337958374629,102.09028571428574,136915.12,,,24.74,,114.628461,0.12080942313500453,2833.0
2001-04-01,99.30624380574827,102.15085714285718,138121.03,,,27.89,,107.183598,0.120815261383818,4014.3
2001-05-01,98.61248761149652,102.38285714285713,137219.27,,,29.34,,95.761167,0.12081380176871405,5324.2
2001-06-01,97.91873141724479,102.30057142857143,141885.6,,,26.08,,54.479551,0.120815261383818,7044.7
2001-07-01,98.61248761149652,102.35514285714285,140076.48,,,24.69,,118.175406,0.12081818071983473,8408.5
2001-08-01,99.207135777998,102.48142857142857,143787.3,,,26.41,,131.479233,0.12081818071983473,9875.7
2001-09-01,100.0,102.03628571428571,151822.6,,,23.26,,202.877708,0.12081964044075005,11479.6
2001-10-01,99.4053518334985,101.66485714285716,146157.58,,,20.37,,297.235333,0.12081964044075005,12703.1
2001-11-01,98.90981169474726,101.52799999999998,154088.3,,,19.14,,128.783501,0.12081964044075005,14504.5
2001-12-01,99.207135777998,101.328,152888.5,,,19.685,,136.847206,0.12081964044075005,
2002-01-01,99.4053518334985,99.10971428571432,157853.45,,,19.512619047619047,,159.894432,0.1208211001969384,
2002-02-01,100.19821605550048,99.0154285714286,159182.97,,,20.195,,163.701148,0.12082255998840104,2164.8
2002-03-01,97.81962338949455,98.8448571428572,162300.93,,,23.72625,,140.205346,0.12081672103419114,3511.4
2002-04-01,98.81070366699703,99.00228571428569,162825.22,,,25.660227272727276,,117.485485,0.12081380176871405,4099.4
2002-05-01,98.81070366699703,98.90257142857142,164268.36,,,25.297173913043476,,33.760589,0.12081672103419114,6334.4
2002-06-01,98.21605550049553,98.86857142857143,167869.41,,,24.13425,,116.777504,0.12081672103419114,8297.4
2002-07-01,98.41427155599602,98.93171428571428,169122.95,,,25.81326086956522,,88.068272,0.12081964044075005,9979.6
2002-08-01,99.4053518334985,98.88314285714286,171524.2,,,26.661590909090908,,140.530972,0.1208211001969384,11587.0
2002-09-01,100.09910802775023,98.88314285714286,175254.87,,,28.409249999999997,,188.888667,0.12081672103419114,13497.6
2002-10-01,99.30624380574827,98.88314285714286,175534.74,,,27.57934782608696,,147.994532,0.12081818071983473,15011.4
2002-11-01,99.00891972249752,98.79742857142857,178018.43,,,24.097571428571428,,109.759095,0.120815261383818,16911.4
2002-12-01,99.4053518334985,98.71171428571428,183246.94,,,28.670476190476194,,85.209694,0.12081380176871405,
2003-01-01,100.19821605550048,98.6514285714286,188918.38,,,31.323181818181823,,141.76566,0.12081964044075005,
2003-02-01,100.0,98.83457142857144,188444.37,,,32.643,,88.596536,0.1208108826443086,2164.8
2003-03-01,98.51337958374629,98.84771428571429,192832.44,,,30.53619047619048,,184.786017,0.12081380176871405,3511.4
2003-04-01,98.90981169474726,98.89885714285714,194476.98,,,24.844523809523814,,124.310194,0.120815261383818,4099.4
2003-05-01,98.41427155599602,99.0442857142857,197811.96,,,25.69142857142857,,102.035913,0.12081818071983473,6334.4
2003-06-01,97.91873141724479,99.27542857142856,203071.74,,,27.514285714285723,,87.320028,0.12081672103419114,8297.4
2003-07-01,98.61248761149652,99.42085714285713,204381.1,,,28.350869565217394,,92.372249,0.12081380176871405,9979.6
2003-08-01,99.8017839444995,99.35771428571428,208692.4,,,29.790714285714287,,89.334223,0.12081672103419114,11587.0
2003-09-01,100.29732408325074,99.47200000000002,211611.5,,,27.011136363636357,,127.821267,0.120815261383818,13497.6
2003-10-01,100.0,99.62342857142858,212505.4,,,29.654347826086955,,106.513636,0.1208211001969384,15011.4
2003-11-01,100.09910802775023,99.5542857142857,214358.84,,,28.726999999999997,,37.159306,0.12081818071983473,16911.4
2003-12-01,99.70267591674926,99.71971428571433,219226.81,,,29.86976190476191,,97.13573,0.12081672103419114,
2004-01-01,100.19821605550048,100.71485714285717,225101.93,,,31.233809523809523,,101.158403,0.12081818071983473,
2004-02-01,98.90981169474726,100.226,227050.72,,,30.838,,46.90383,0.120815261383818,2730.5
2004-03-01,99.4053518334985,100.47714285714287,231654.6,,,33.79130434782609,,85.352993,0.120815261383818,4502.0
2004-04-01,99.603567888999,100.19942857142856,233627.86,,,33.249047619047616,,43.165826,0.12081818071983473,6601.7
2004-05-01,99.00891972249752,100.23,234842.4,,,37.76190476190476,,137.987205,0.12081672103419114,8322.6
2004-06-01,98.41427155599602,100.15228571428574,238427.49,,,35.04681818181818,,59.121086,0.12082255998840104,10802.9
2004-07-01,98.90981169474726,99.9602857142857,234842.4,,,38.3275,,50.48696,0.1208211001969384,12738.2
2004-08-01,99.8017839444995,99.99942857142855,239729.19,,,43.040909090909096,,88.039981,0.12081964044075005,14714.6
2004-09-01,100.19821605550048,99.86457142857138,243757.0,,,43.06666666666667,,92.031048,0.12082255998840104,17144.6
2004-10-01,99.10802775024776,99.82400000000001,243740.0,,,49.643095238095235,,107.500528,0.12082401981513927,19061.9
2004-11-01,98.81070366699703,99.75485714285713,247135.58,,,42.8484090909091,,93.990499,0.12082401981513927,21593.7
2004-12-01,99.207135777998,99.83457142857146,253207.7,,,39.53478260869565,,96.878212,0.12082401981513927,
2005-01-01,99.70267591674926,99.20714285714287,257708.47,,,44.23142857142858,63.7,75.73044,0.12082401981513927,
2005-02-01,100.89197224975221,99.57257142857145,259357.29,,,45.376,64.8,32.597446,0.12082401981513927,3028.4
2005-03-01,98.21605550049553,99.50685714285714,264588.94,,,52.907727272727264,71.5,99.00125,0.12082401981513927,5209.4
2005-04-01,98.81070366699703,99.4722857142857,266992.66,,,51.817619047619054,65.2,50.367887,0.12082401981513927,7590.2
2005-05-01,98.90981169474726,99.37800000000003,269240.49,,,48.64428571428572,53.5,105.350168,0.12082401981513927,9585.4
2005-06-01,98.31516352824579,99.43514285714284,275785.53,,,54.41181818181817,49.8,42.972257,0.12082401981513927,12421.4
2005-07-01,99.10802775024776,99.34342857142859,276966.28,,,57.62904761904762,50.6,35.555212,0.12162047115770526,14660.6
2005-08-01,99.30624380574827,99.4265714285714,281288.22,,,64.12260869565216,53.7,92.999139,0.12342783791456324,17073.9
2005-09-01,99.8017839444995,99.5097142857143,287438.27,,,62.90954545454545,52.8,68.261136,0.12357578903141296,19949.9
2005-10-01,99.50445986124876,99.35828571428577,287591.61,,,58.60619047619049,50.8,32.729477,0.12362620381015962,22137.9
2005-11-01,98.81070366699703,99.18428571428572,292350.39,,,55.17636363636364,47.9,86.757981,0.12370113805047007,25326.3
2005-12-01,99.50445986124876,99.33314285714282,298755.48,,,56.91,49.5,57.220211,0.12382520833591301,
2006-01-01,100.39643211100098,98.95942857142859,303571.65,,,63.048095238095236,54.0,83.608438,0.12397104036497075,
2006-02-01,99.603567888999,98.6337142857143,304516.27,,,60.11974999999999,55.4,64.715103,0.12423440547625261,3787.6
2006-03-01,98.21605550049553,98.61714285714284,310490.65,,,62.08304347826086,55.1,84.225096,0.12445550715619166,6291.7
2006-04-01,99.30624380574827,98.74342857142857,313702.34,,,70.34631578947369,63.3,133.5047,0.12475672438744449,9020.2
2006-05-01,99.00891972249752,98.76942857142858,316709.81,,,69.82954545454545,63.4,66.022695,0.12476139383429193,11186.5
2006-06-01,98.61248761149652,98.98085714285712,322756.35,,,68.68863636363636,64.1,110.924346,0.12489540010241422,14601.1
2006-07-01,98.81070366699703,98.89257142857144,324010.76,,,73.66142857142857,60.0,42.707087,0.12513765141655822,17125.9
2006-08-01,99.4053518334985,98.82942857142858,327885.67,,,73.11000000000001,59.7,36.359452,0.12541858452585505,19730.8
2006-09-01,99.603567888999,98.99228571428569,331865.36,,,61.71142857142858,56.7,71.518664,0.12599536337062797,23157.0
2006-10-01,99.207135777998,98.99228571428569,332747.17,,,57.79590909090909,53.5,74.125146,0.12653102540742991,25827.5
2006-11-01,99.4053518334985,98.84685714285716,337504.15,,,58.9175,55.3,43.895903,0.12714234857346285,29611.2
2006-12-01,100.49554013875124,99.16114285714286,345577.91,,,62.327,57.5,67.678387,0.12781512819857357,
2007-01-01,99.8017839444995,99.42628571428574,351498.77,,,53.44714285714285,55.4,80.170837,0.12837300059051582,
2007-02-01,100.09910802775023,99.66942857142857,358659.25,,,57.48388888888889,55.9,64.659121,0.12895571660691718,4414.6
2007-03-01,98.81070366699703,99.78914285714286,364104.66,,,62.15181818181818,58.3,70.074323,0.12921399129097697,7288.8
2007-04-01,99.00891972249752,99.8402857142857,367326.45,,,67.53105263157893,64.9,68.33134,0.1294548655611221,10509.2
2007-05-01,99.4053518334985,99.82028571428576,369718.15,,,67.328,65.9,47.791524,0.13037129745515227,13431.4
