date,GDP(亿元）
2025年第三季度,354500.2
2025年第二季度,341777.8
2025年第一季度,318758.0
2024年第四季度,373726.2
2024年第三季度,341758.0
2024年第二季度,328837.6
2024年第一季度,304761.8
2023年第四季度,357224.8
2023年第三季度,328440.7
2023年第二季度,316237.5
2023年第一季度,292368.8
2022年第四季度,342342.4
2022年第三季度,315399.6
2022年第二季度,299111.5
2022年第一季度,277175.8
2021年第四季度,332826.7
2021年第三季度,297961.9
2021年第二季度,287979.2
2021年第一季度,255055.2
2020年第四季度,301836.2
2020年第三季度,269910.2
2020年第二季度,253450.0
2020年第一季度,209671.1
2019年第四季度,282201.4
2019年第三季度,256023.2
2019年第二季度,246193.9
2019年第一季度,221453.9
2018年第四季度,263435.6
2018年第三季度,238796.8
2018年第二季度,228042.4
2018年第一季度,205735.3
2017年第四季度,239687.6
2017年第三季度,216755.3
2017年第二季度,205665.6
2017年第一季度,185274.4
2016年第四季度,215617.9
2016年第三季度,194837.5
2016年第二季度,185002.2
2016年第一季度,165735.3
2015年第四季度,196334.4
2015年第三季度,180118.7
2015年第二季度,171887.0
2015年第一季度,154171.4
2014年第四季度,184179.4
2014年第三季度,168601.7
2014年第二季度,159462.4
2014年第一季度,143539.4
2013年第四季度,170694.7
2013年第三季度,154972.1
2013年第二季度,146113.9
2013年第一季度,131879.7
2012年第四季度,154258.0
2012年第三季度,140384.0
2012年第二季度,133491.2
2012年第一季度,119377.5
2011年第四季度,140150.3
2011年第三季度,128561.5
2011年第二季度,120776.8
2011年第一季度,106218.9
2010年第四季度,121260.4
2010年第三季度,107792.9
2010年第二季度,101075.0
2010年第一季度,89125.0
2009年第四季度,102494.7
2009年第三季度,91330.0
2009年第二季度,85355.6
2009年第一季度,75341.3
2008年第四季度,90075.0
2008年第三季度,83668.3
2008年第二季度,79965.0
2008年第一季度,70609.6
2007年第四季度,79854.0
2007年第三季度,70494.1
2007年第二季度,65751.0
2007年第一季度,58080.6
2006年第四季度,64510.8
2006年第三季度,56820.5
2006年第二季度,53415.3
2006年第一季度,47831.7
2005年第四季度,54746.8
2005年第三季度,48681.7
2005年第二季度,45399.8
2005年第一季度,41079.2
2004年第四季度,47420.3
2004年第三季度,42448.0
2004年第二季度,39251.8
2004年第一季度,35107.8
2003年第四季度,40338.8
2003年第三季度,35778.3
2003年第二季度,32978.2
2003年第一季度,30282.0
2002年第四季度,35430.7
2002年第三季度,31664.4
2002年第二季度,29550.7
2002年第一季度,26666.0
2001年第四季度,32086.9
2001年第三季度,28662.0
2001年第二季度,27017.8
2001年第一季度,24390.6
