report_period,INF_Sentiment,INF_Duration,DRV_Demand,DRV_Supply,DRV_External,DRV_Monetary,POL_Tone,POL_Priority,TXT_Ambiguity,TXT_Confidence
2001-Q1,-2.0,0.8,5.0,8.5,1.0,4.0,-1.5,3.0,4.0,7.5
2001-Q2,-2.0,0.6,8.0,4.0,6.0,3.0,-4.0,4.0,3.0,8.0
2001-Q3,-6.5,0.7,9.0,7.5,6.0,2.0,-7.5,3.0,7.0,5.5
2001-Q4,-6.5,0.7,3.0,8.0,8.5,4.0,-6.0,7.5,3.0,6.5
2002-Q1,-6.5,0.7,8.5,7.5,5.0,2.0,-8.0,6.0,2.5,8.0
2002-Q2,-7.5,0.8,7.0,8.0,6.0,1.0,-6.0,5.0,3.0,7.5
2002-Q3,-4.5,0.3,7.5,4.0,3.0,8.0,-4.0,6.5,3.0,8.5
2002-Q4,-7.0,0.6,2.5,8.0,7.5,2.0,-6.0,4.5,7.0,6.5
2003-Q1,1.5,0.6,8.0,7.5,6.0,7.0,-4.0,3.0,7.0,8.5
2003-Q2,1.5,0.3,8.0,8.5,6.0,9.0,3.0,4.5,2.5,8.5
2003-Q3,4.5,0.6,8.5,3.0,2.0,9.5,6.0,7.5,2.5,8.0
2003-Q4,7.5,0.7,9.0,8.0,4.0,8.0,6.5,8.0,4.0,7.0
2004-Q1,7.5,0.3,9.5,7.0,6.0,8.0,6.0,8.5,3.0,8.0
2004-Q2,8.0,0.4,9.0,8.5,6.0,7.0,6.5,8.5,4.0,7.5
2004-Q3,7.5,0.65,8.5,9.0,7.5,4.0,8.0,9.0,3.0,7.5
2004-Q4,6.5,0.7,8.5,7.0,6.0,3.0,5.0,8.0,4.0,7.5
2005-Q1,4.5,0.7,7.0,8.0,7.5,3.0,2.0,6.5,5.0,8.0
2005-Q2,2.5,0.7,6.5,8.0,5.5,3.0,1.5,6.0,3.5,8.5
2005-Q3,4.5,0.7,7.0,8.5,8.0,4.0,1.5,6.5,5.0,8.5
2005-Q4,2.5,0.7,8.0,7.5,6.0,5.0,4.0,6.5,5.0,7.5
2006-Q1,6.5,0.7,9.0,6.0,5.0,8.0,7.5,8.5,3.0,8.5
2006-Q2,6.5,0.7,9.0,6.0,7.5,8.5,7.5,8.0,3.0,8.5
2006-Q3,6.5,0.7,7.5,8.0,5.5,9.0,7.0,8.0,3.5,7.5
2006-Q4,6.5,0.7,8.5,6.0,5.0,9.5,7.0,8.0,3.0,8.0
2007-Q1,6.5,0.7,8.0,9.0,4.5,7.5,7.0,8.5,3.5,8.0
2007-Q2,8.5,0.8,8.0,9.0,6.5,7.5,8.0,9.5,3.0,8.5
2007-Q3,8.5,0.8,7.5,9.0,7.0,6.5,8.0,9.0,3.0,7.5
2007-Q4,9.0,0.8,8.0,9.0,7.5,7.0,10.0,10.0,2.0,9.0
2008-Q1,9.5,0.7,8.0,8.5,7.5,6.0,9.0,10.0,4.5,7.5
2008-Q2,8.5,0.7,6.0,8.0,9.0,5.0,7.0,9.0,7.5,6.0
2008-Q3,-5.0,0.3,8.5,7.0,9.5,2.0,-9.0,2.0,3.0,6.5
2008-Q4,-8.5,0.7,9.0,7.5,8.5,2.0,-10.0,2.0,3.0,7.5
2009-Q1,-4.0,0.3,7.5,8.5,9.0,6.5,-9.5,2.0,4.0,7.5
2009-Q2,-1.5,0.7,8.0,6.0,9.0,8.5,-8.0,2.0,7.5,6.5
2009-Q3,2.5,0.6,8.0,4.0,7.5,9.0,-6.0,4.5,5.5,8.5
2009-Q4,6.5,0.6,8.0,4.5,7.5,8.5,-3.0,6.0,6.0,7.5
2010-Q1,6.5,0.7,8.0,6.5,7.5,7.0,1.5,6.5,4.0,8.5
2010-Q2,6.5,0.7,6.0,8.0,5.0,4.0,-2.0,6.5,8.0,6.0
2010-Q3,7.5,0.8,7.0,8.0,8.0,6.0,4.0,8.0,6.0,7.5
2010-Q4,8.5,0.8,7.0,8.0,8.5,9.0,7.5,9.5,2.5,8.0
2011-Q1,8.5,0.8,7.0,6.0,8.0,7.5,8.0,10.0,3.0,8.0
2011-Q2,8.5,0.8,7.0,8.5,6.0,7.5,9.0,10.0,4.0,8.0
2011-Q3,6.5,0.75,6.0,5.5,3.0,4.0,1.5,9.5,6.0,7.5
2011-Q4,3.5,0.8,4.0,8.5,7.5,3.0,-2.5,6.5,7.0,8.0
2012-Q1,2.5,0.8,6.0,7.5,6.0,4.0,-3.0,6.5,5.0,7.5
2012-Q2,-1.5,0.4,8.5,4.0,7.0,3.0,-8.0,3.0,6.5,7.5
2012-Q3,1.5,0.7,4.0,6.0,7.5,3.0,-4.0,3.0,4.5,5.0
2012-Q4,4.0,0.8,7.0,8.0,6.0,5.0,0.0,5.0,6.5,7.5
2013-Q1,4.5,0.7,8.5,6.0,5.0,7.5,4.0,7.0,4.0,8.0
2013-Q2,3.5,0.7,6.5,7.0,2.0,5.0,4.0,6.0,4.5,7.5
2013-Q3,4.0,0.7,8.0,4.0,3.0,6.5,3.0,6.0,7.0,8.0
2013-Q4,2.5,0.7,4.0,7.5,3.0,3.0,4.0,6.5,5.5,7.0
2014-Q1,1.5,0.7,4.0,7.5,3.0,2.0,1.0,4.5,4.0,7.0
2014-Q2,1.0,0.4,8.0,6.0,2.0,3.0,-3.0,3.0,6.0,7.5
2014-Q3,1.0,0.7,4.0,7.5,8.0,3.0,-3.0,4.0,6.0,7.5
2014-Q4,-6.5,0.8,8.5,7.0,9.5,2.0,-5.0,3.0,6.0,7.5
2015-Q1,-5.0,0.7,7.0,8.0,9.0,3.0,-6.0,6.5,6.0,7.0
