feature_1,feature_2,mean_abs_interaction,type
M2_Growth_lag12,Fiscal_Exp_Growth_lag6,0.013248887790867027,macro_x_macro
M2_Growth_lag6,Fiscal_Exp_Growth_lag6,0.008261096918597725,macro_x_macro
Oil_Price_lag2,Fiscal_Exp_Growth_lag12,0.00790873994193458,macro_x_macro
M2_Growth_lag1,Oil_Price_lag2,0.0068823209076765025,macro_x_macro
Fiscal_Exp_Growth_lag2,Fiscal_Exp_Growth_lag12,0.006753837686949822,macro_x_macro
Fiscal_Exp_Growth_lag1,Fiscal_Exp_Growth_lag2,0.006538042503535518,macro_x_macro
M2_Growth_lag12,Oil_Price_lag2,0.006212672337770274,macro_x_macro
Exchange_Rate_lag12,Fiscal_Exp_Growth_lag1,0.005355977891737117,macro_x_macro
Oil_Price_lag2,Fiscal_Exp_Growth_lag2,0.005279096136890694,macro_x_macro
Fiscal_Exp_Growth_lag2,Fiscal_Exp_Growth_lag6,0.005120670701639199,macro_x_macro
M2_Growth_lag12,Fiscal_Exp_Growth_lag1,0.00487317504907905,macro_x_macro
Oil_Price_lag2,Fiscal_Exp_Growth_lag1,0.00473633471460435,macro_x_macro
M2_Growth_lag1,Fiscal_Exp_Growth_lag2,0.0044455698237529165,macro_x_macro
Fiscal_Exp_Growth_lag1,POL_Tone_lag12,0.004101965732713477,nlp_x_macro
M2_Growth_lag12,Fiscal_Exp_Growth_lag12,0.004069192400327756,macro_x_macro
Core_CPI_lag1,Fiscal_Exp_Growth_lag1,0.00397995859192047,macro_x_macro
M2_Growth_lag1,PMI_Output_Price_lag2,0.003502288568207115,macro_x_macro
M2_Growth_lag12,Fiscal_Exp_Growth_lag2,0.0034951995994416058,macro_x_macro
PPI_lag3,Fiscal_Exp_Growth_lag1,0.003478234351108677,macro_x_macro
M2_Growth_lag6,Oil_Price_lag2,0.0031901586417936857,macro_x_macro
M2_Growth_lag1,M2_Growth_lag2,0.0031333592634450094,macro_x_macro
Fiscal_Exp_Growth_lag1,TXT_Ambiguity_lag1,0.0031230295161967713,nlp_x_macro
M2_Growth_lag2,Fiscal_Exp_Growth_lag6,0.0030685810512301576,macro_x_macro
Oil_Price_lag2,Fiscal_Exp_Growth_lag6,0.0029584386824132902,macro_x_macro
Fiscal_Exp_Growth_lag6,Fiscal_Exp_Growth_lag12,0.0028752456592738966,macro_x_macro
Exchange_Rate_lag12,Fiscal_Exp_Growth_lag12,0.0027336591176256512,macro_x_macro
Core_CPI_lag1,Fiscal_Exp_Growth_lag12,0.002632821601637553,macro_x_macro
EPUCHINA_lag3,Fiscal_Exp_Growth_lag2,0.002624219614946465,macro_x_macro
Oil_Price_lag2,EPUCHINA_lag3,0.0025665352365474457,macro_x_macro
EPUCHINA_lag12,Fiscal_Exp_Growth_lag2,0.0025064496761831477,macro_x_macro
Fiscal_Exp_Growth_lag1,Fiscal_Exp_Growth_lag6,0.0024175540642165892,macro_x_macro
M2_Growth_lag12,Oil_Price_lag1,0.0023892202885178425,macro_x_macro
Fiscal_Exp_Growth_lag2,Fiscal_Exp_Growth_lag3,0.0023733748993858793,macro_x_macro
Oil_Price_lag1,Fiscal_Exp_Growth_lag2,0.00236133407242004,macro_x_macro
M2_Growth_lag2,Oil_Price_lag2,0.002280806677948205,macro_x_macro
Oil_Price_lag12,Fiscal_Exp_Growth_lag12,0.0022778049767958656,macro_x_macro
M2_Growth_lag1,Fiscal_Exp_Growth_lag1,0.0022600975903648455,macro_x_macro
Core_CPI_lag2,Fiscal_Exp_Growth_lag1,0.0021199813125668343,macro_x_macro
Exchange_Rate_lag2,Fiscal_Exp_Growth_lag2,0.0020950413590102,macro_x_macro
Fiscal_Exp_Growth_lag3,Fiscal_Exp_Growth_lag6,0.002069676756099605,macro_x_macro
Oil_Price_lag2,INF_Duration_lag6,0.0020212593753255494,nlp_x_macro
Oil_Price_lag3,Fiscal_Exp_Growth_lag1,0.0020199589343347264,macro_x_macro
M2_Growth_lag1,Fiscal_Exp_Growth_lag6,0.0019711191037298397,macro_x_macro
Oil_Price_lag2,Exchange_Rate_lag12,0.001962192399437223,macro_x_macro
Oil_Price_lag2,Oil_Price_lag12,0.0019453614127788324,macro_x_macro
Core_CPI_lag12,Fiscal_Exp_Growth_lag1,0.0019028109945197131,macro_x_macro
Core_CPI_lag6,Fiscal_Exp_Growth_lag1,0.0018821505440769835,macro_x_macro
Core_CPI_lag12,Fiscal_Exp_Growth_lag2,0.0018636346741969885,macro_x_macro
Fiscal_Exp_Growth_lag6,TXT_Confidence_lag1,0.0017236417803250007,nlp_x_macro
M2_Growth_lag6,Fiscal_Exp_Growth_lag3,0.0017115160260527825,macro_x_macro
M2_Growth_lag2,Fiscal_Exp_Growth_lag1,0.001707539069543277,macro_x_macro
M2_Growth_lag6,Fiscal_Exp_Growth_lag12,0.001704531141274406,macro_x_macro
Core_CPI_lag3,Oil_Price_lag2,0.0015808753767747727,macro_x_macro
Fiscal_Exp_Growth_lag12,POL_Tone_lag12,0.001574409188056116,nlp_x_macro
M2_Growth_lag6,Fiscal_Exp_Growth_lag2,0.0015373485351798046,macro_x_macro
M2_Growth_lag1,M2_Growth_lag12,0.0015098302013481866,macro_x_macro
Fiscal_Exp_Growth_lag12,TXT_Ambiguity_lag1,0.0015031121998629472,nlp_x_macro
Oil_Price_lag2,Fiscal_Exp_Growth_lag3,0.001500620901522989,macro_x_macro
M2_Growth_lag1,EPUCHINA_lag2,0.0014873706377955289,macro_x_macro
M2_Growth_lag6,DRV_Supply_lag6,0.001481996301270291,nlp_x_macro
Oil_Price_lag12,Fiscal_Exp_Growth_lag1,0.0014811174302491346,macro_x_macro
Oil_Price_lag2,EPUCHINA_lag12,0.0014804046390459666,macro_x_macro
Fiscal_Exp_Growth_lag1,POL_Priority_lag6,0.0014490220694678127,nlp_x_macro
Fiscal_Exp_Growth_lag3,Fiscal_Exp_Growth_lag12,0.0014422451832155569,macro_x_macro
Core_CPI_lag1,Oil_Price_lag2,0.0014400963853868068,macro_x_macro
Fiscal_Exp_Growth_lag1,DRV_External_lag12,0.0014343729899487002,nlp_x_macro
M2_Growth_lag6,Fiscal_Exp_Growth_lag1,0.0014300489644313431,macro_x_macro
M2_Growth_lag6,PMI_Output_Price_lag6,0.0014257486895864076,macro_x_macro
Fiscal_Exp_Growth_lag2,DRV_External_lag2,0.0014223873116110523,nlp_x_macro
M2_Growth_lag2,Fiscal_Exp_Growth_lag2,0.0014103823457664237,macro_x_macro
Fiscal_Exp_Growth_lag1,Fiscal_Exp_Growth_lag12,0.0013970623086820362,macro_x_macro
Oil_Price_lag2,EPUCHINA_lag2,0.0013932121280552643,macro_x_macro
Core_CPI_lag12,Oil_Price_lag2,0.0013875249615628183,macro_x_macro
M2_Growth_lag1,PMI_Output_Price_lag6,0.0013656753737374592,macro_x_macro
PMI_Output_Price_lag2,Fiscal_Exp_Growth_lag1,0.0013475700789100133,macro_x_macro
M2_Growth_lag2,M2_Growth_lag12,0.0013475459223417506,macro_x_macro
Fiscal_Exp_Growth_lag2,DRV_Supply_lag2,0.0013342028617719236,nlp_x_macro
M2_Growth_lag12,Fiscal_Exp_Growth_lag3,0.001313243796102914,macro_x_macro
Oil_Price_lag2,PMI_Output_Price_lag6,0.0013107870038821777,macro_x_macro
Fiscal_Exp_Growth_lag1,TXT_Ambiguity_lag2,0.0013078871369037477,nlp_x_macro
M2_Growth_lag3,Oil_Price_lag2,0.0012790813778933354,macro_x_macro
M2_Growth_lag1,PPI_lag12,0.001274708410946877,macro_x_macro
Core_CPI_lag12,M2_Growth_lag12,0.0012706303961045494,macro_x_macro
PPI_lag3,Fiscal_Exp_Growth_lag6,0.0012643577717652513,macro_x_macro
Core_CPI_lag3,Fiscal_Exp_Growth_lag6,0.0012501968113930438,macro_x_macro
Oil_Price_lag2,Oil_Price_lag6,0.0012319357033165434,macro_x_macro
M2_Growth_lag1,Exchange_Rate_lag3,0.0012274798032171842,macro_x_macro
PPI_lag1,Oil_Price_lag2,0.001221769426445116,macro_x_macro
Oil_Price_lag2,POL_Priority_lag2,0.0012148332625068138,nlp_x_macro
M2_Growth_lag3,M2_Growth_lag12,0.0012144550553859065,macro_x_macro
PMI_Output_Price_lag2,Fiscal_Exp_Growth_lag6,0.001210847460459864,macro_x_macro
Oil_Price_lag2,DRV_Supply_lag12,0.0011899463609326586,nlp_x_macro
PPI_lag12,Oil_Price_lag2,0.0011747187022458747,macro_x_macro
M2_Growth_lag1,Fiscal_Exp_Growth_lag12,0.0011732334302827514,macro_x_macro
Core_CPI_lag2,Oil_Price_lag2,0.0011626086404695236,macro_x_macro
M2_Growth_lag6,INF_Sentiment_lag2,0.0011529835724866122,nlp_x_macro
M2_Growth_lag6,Oil_Price_lag12,0.0011486020526974296,macro_x_macro
Fiscal_Exp_Growth_lag1,TXT_Ambiguity_lag3,0.0011280544456007597,nlp_x_macro
Fiscal_Exp_Growth_lag2,DRV_Demand_lag6,0.0011199138361952083,nlp_x_macro
PPI_lag3,Fiscal_Exp_Growth_lag2,0.0011173671718357197,macro_x_macro
Exchange_Rate_lag3,Fiscal_Exp_Growth_lag12,0.0011100614530520202,macro_x_macro
M2_Growth_lag12,DRV_Supply_lag12,0.001084763985207951,nlp_x_macro
Core_CPI_lag3,M2_Growth_lag1,0.0010785451642908212,macro_x_macro
Fiscal_Exp_Growth_lag12,TXT_Ambiguity_lag2,0.0010759645009514708,nlp_x_macro
Oil_Price_lag1,TXT_Confidence_lag1,0.001066257067089662,nlp_x_macro
Oil_Price_lag2,DRV_External_lag12,0.0010606937202930341,nlp_x_macro
M2_Growth_lag2,INF_Duration_lag12,0.001047979062042488,nlp_x_macro
PMI_Output_Price_lag2,Fiscal_Exp_Growth_lag12,0.0010448993720274789,macro_x_macro
Core_CPI_lag6,Fiscal_Exp_Growth_lag2,0.0010437446223454238,macro_x_macro
