,mean_abs_shap
Fiscal_Exp_Growth_lag1,0.2148464
Fiscal_Exp_Growth_lag6,0.07897445
M2_Growth_lag12,0.06365009
Oil_Price_lag2,0.06146771
Fiscal_Exp_Growth_lag2,0.052339453
Fiscal_Exp_Growth_lag12,0.042964753
M2_Growth_lag1,0.040668618
M2_Growth_lag2,0.03832669
Core_CPI_lag1,0.033623163
M2_Growth_lag6,0.03205816
DRV_Supply_lag6,0.025607377
EPUCHINA_lag3,0.025561305
Exchange_Rate_lag12,0.020483728
M2_Growth_lag3,0.017932963
Oil_Price_lag12,0.015427246
PMI_Output_Price_lag2,0.015320493
EPUCHINA_lag2,0.01467641
PPI_lag3,0.014462802
EPUCHINA_lag12,0.012398504
TXT_Ambiguity_lag3,0.011941897
Oil_Price_lag1,0.011853364
TXT_Confidence_lag1,0.010951909
PMI_Output_Price_lag1,0.01088882
PMI_Output_Price_lag6,0.0106925145
PMI_Output_Price_lag3,0.009960865
Core_CPI_lag12,0.009788647
DRV_Demand_lag1,0.009648083
Core_CPI_lag2,0.009642562
TXT_Confidence_lag6,0.008792032
Exchange_Rate_lag1,0.008276807
PPI_lag12,0.007629308
Exchange_Rate_lag3,0.0070628184
Core_CPI_lag3,0.006592608
DRV_Monetary_lag2,0.006008192
TXT_Confidence_lag3,0.0059174695
DRV_Supply_lag3,0.0055697253
POL_Tone_lag2,0.0054965317
TXT_Ambiguity_lag6,0.005453565
Oil_Price_lag6,0.0053520235
Fiscal_Exp_Growth_lag3,0.005215775
EPUCHINA_lag6,0.0048907413
Oil_Price_lag3,0.0048612794
POL_Priority_lag3,0.0044686026
DRV_Monetary_lag6,0.0044551077
DRV_Demand_lag3,0.0043594586
Exchange_Rate_lag2,0.0042673303
POL_Tone_lag3,0.0042484836
PMI_Output_Price_lag12,0.003731678
POL_Priority_lag1,0.0036703905
DRV_Monetary_lag12,0.0036664985
EPUCHINA_lag1,0.0036525957
Exchange_Rate_lag6,0.0035070968
DRV_External_lag6,0.0034404171
DRV_External_lag3,0.0027067375
DRV_External_lag1,0.002513245
DRV_Monetary_lag3,0.0025063646
PPI_lag2,0.0024822229
POL_Tone_lag1,0.002448595
INF_Duration_lag6,0.0024184082
TXT_Confidence_lag2,0.0024177625
TXT_Ambiguity_lag1,0.002416402
Core_CPI_lag6,0.0023591516
DRV_Demand_lag12,0.0022292072
TXT_Ambiguity_lag2,0.002225649
DRV_External_lag2,0.0022228656
DRV_Demand_lag2,0.0022091276
POL_Priority_lag6,0.0020321535
DRV_Supply_lag12,0.0017826328
PPI_lag1,0.0016183385
POL_Tone_lag6,0.001616028
DRV_Supply_lag2,0.0014701571
PPI_lag6,0.0014438828
INF_Duration_lag12,0.0014109758
TXT_Ambiguity_lag12,0.0014099765
INF_Sentiment_lag6,0.0013299556
INF_Duration_lag1,0.0012968762
DRV_Supply_lag1,0.0012601687
INF_Sentiment_lag3,0.0012400224
POL_Tone_lag12,0.0012199908
DRV_Monetary_lag1,0.0011537445
DRV_External_lag12,0.0010779366
INF_Duration_lag2,0.0010076723
POL_Priority_lag12,0.0010046926
INF_Sentiment_lag12,0.000770748
INF_Sentiment_lag2,0.0007004273
TXT_Confidence_lag12,0.0005701546
INF_Sentiment_lag1,0.00053872773
POL_Priority_lag2,0.000503602
DRV_Demand_lag6,0.00038798773
INF_Duration_lag3,0.00023673386
