feature_1,feature_2,mean_abs_interaction,type
Fiscal_Exp_Growth_lag1,TXT_Ambiguity_lag1,0.028204750269651413,nlp_x_macro
M2_Growth_lag12,Fiscal_Exp_Growth_lag6,0.02502542920410633,macro_x_macro
Oil_Price_lag12,Fiscal_Exp_Growth_lag1,0.01795675978064537,macro_x_macro
M2_Growth_lag6,Fiscal_Exp_Growth_lag6,0.017721377313137054,macro_x_macro
M2_Growth_lag12,Fiscal_Exp_Growth_lag2,0.014876236207783222,macro_x_macro
M2_Growth_lag12,Fiscal_Exp_Growth_lag1,0.01274737250059843,macro_x_macro
M2_Growth_lag2,Fiscal_Exp_Growth_lag6,0.010426708497107029,macro_x_macro
Oil_Price_lag2,Fiscal_Exp_Growth_lag12,0.009664353914558887,macro_x_macro
PMI_Output_Price_lag2,Fiscal_Exp_Growth_lag1,0.009637385606765747,macro_x_macro
Core_CPI_lag1,Fiscal_Exp_Growth_lag1,0.008629459887742996,macro_x_macro
Fiscal_Exp_Growth_lag1,Fiscal_Exp_Growth_lag2,0.008598173037171364,macro_x_macro
Oil_Price_lag2,Fiscal_Exp_Growth_lag2,0.008347740396857262,macro_x_macro
M2_Growth_lag1,EPUCHINA_lag2,0.008096342906355858,macro_x_macro
M2_Growth_lag6,Fiscal_Exp_Growth_lag12,0.007971198298037052,macro_x_macro
M2_Growth_lag1,Oil_Price_lag2,0.007968230172991753,macro_x_macro
M2_Growth_lag2,M2_Growth_lag12,0.00787503831088543,macro_x_macro
M2_Growth_lag1,M2_Growth_lag2,0.007800883613526821,macro_x_macro
M2_Growth_lag2,Fiscal_Exp_Growth_lag2,0.007678964175283909,macro_x_macro
M2_Growth_lag12,Oil_Price_lag2,0.007652258966118097,macro_x_macro
Oil_Price_lag2,Fiscal_Exp_Growth_lag6,0.0074458797462284565,macro_x_macro
PPI_lag3,Fiscal_Exp_Growth_lag1,0.0071393633261322975,macro_x_macro
Fiscal_Exp_Growth_lag1,Fiscal_Exp_Growth_lag6,0.007133154664188623,macro_x_macro
Oil_Price_lag2,Fiscal_Exp_Growth_lag1,0.006765980273485184,macro_x_macro
M2_Growth_lag12,Fiscal_Exp_Growth_lag12,0.006633774843066931,macro_x_macro
M2_Growth_lag1,PMI_Output_Price_lag2,0.006632807664573193,macro_x_macro
Fiscal_Exp_Growth_lag2,Fiscal_Exp_Growth_lag12,0.006560031790286303,macro_x_macro
Fiscal_Exp_Growth_lag6,Fiscal_Exp_Growth_lag12,0.006388704292476177,macro_x_macro
M2_Growth_lag12,EPUCHINA_lag2,0.006366679444909096,macro_x_macro
EPUCHINA_lag3,Fiscal_Exp_Growth_lag2,0.006160534452646971,macro_x_macro
M2_Growth_lag1,Fiscal_Exp_Growth_lag6,0.005990912672132254,macro_x_macro
Core_CPI_lag3,Fiscal_Exp_Growth_lag1,0.005886738188564777,macro_x_macro
M2_Growth_lag6,TXT_Confidence_lag1,0.005840001627802849,nlp_x_macro
M2_Growth_lag6,DRV_External_lag1,0.005827670451253653,nlp_x_macro
Fiscal_Exp_Growth_lag3,Fiscal_Exp_Growth_lag6,0.005775404162704945,macro_x_macro
Fiscal_Exp_Growth_lag1,POL_Tone_lag12,0.005728904157876968,nlp_x_macro
Core_CPI_lag3,Oil_Price_lag2,0.005655448883771896,macro_x_macro
M2_Growth_lag2,EPUCHINA_lag2,0.005411790683865547,macro_x_macro
Core_CPI_lag12,Fiscal_Exp_Growth_lag1,0.005393330007791519,macro_x_macro
M2_Growth_lag1,M2_Growth_lag12,0.00530132744461298,macro_x_macro
M2_Growth_lag3,M2_Growth_lag12,0.005144380033016205,macro_x_macro
M2_Growth_lag2,Oil_Price_lag2,0.005132043268531561,macro_x_macro
Fiscal_Exp_Growth_lag2,Fiscal_Exp_Growth_lag6,0.004935039207339287,macro_x_macro
Core_CPI_lag1,DRV_Monetary_lag3,0.0047111185267567635,nlp_x_macro
Core_CPI_lag2,Fiscal_Exp_Growth_lag1,0.004664186853915453,macro_x_macro
PPI_lag3,TXT_Ambiguity_lag1,0.00435588089749217,nlp_x_macro
Fiscal_Exp_Growth_lag3,Fiscal_Exp_Growth_lag12,0.004261566326022148,macro_x_macro
Oil_Price_lag2,Exchange_Rate_lag3,0.0041079046204686165,macro_x_macro
M2_Growth_lag2,Fiscal_Exp_Growth_lag12,0.004080132115632296,macro_x_macro
M2_Growth_lag1,Fiscal_Exp_Growth_lag1,0.004056092351675034,macro_x_macro
EPUCHINA_lag3,DRV_Demand_lag12,0.003998152911663055,nlp_x_macro
Exchange_Rate_lag1,Fiscal_Exp_Growth_lag6,0.003968885634094477,macro_x_macro
EPUCHINA_lag3,Exchange_Rate_lag3,0.003920367453247309,macro_x_macro
Oil_Price_lag2,Exchange_Rate_lag12,0.0038597227539867163,macro_x_macro
Core_CPI_lag2,M2_Growth_lag2,0.003800892038270831,macro_x_macro
M2_Growth_lag2,DRV_External_lag2,0.0037865149788558483,nlp_x_macro
Oil_Price_lag2,INF_Sentiment_lag2,0.0036803451366722584,nlp_x_macro
Fiscal_Exp_Growth_lag6,TXT_Confidence_lag1,0.0036120519507676363,nlp_x_macro
Core_CPI_lag1,Fiscal_Exp_Growth_lag12,0.003604845842346549,macro_x_macro
Fiscal_Exp_Growth_lag2,POL_Priority_lag1,0.003548321546986699,nlp_x_macro
Exchange_Rate_lag12,Fiscal_Exp_Growth_lag12,0.0035031079314649105,macro_x_macro
Fiscal_Exp_Growth_lag2,Fiscal_Exp_Growth_lag3,0.0033244930673390627,macro_x_macro
M2_Growth_lag6,M2_Growth_lag12,0.0033185668289661407,macro_x_macro
M2_Growth_lag12,EPUCHINA_lag3,0.0033072507940232754,macro_x_macro
M2_Growth_lag2,Fiscal_Exp_Growth_lag1,0.0033034253865480423,macro_x_macro
Oil_Price_lag2,Oil_Price_lag12,0.0032020513899624348,macro_x_macro
M2_Growth_lag2,DRV_Monetary_lag12,0.003173555713146925,nlp_x_macro
M2_Growth_lag12,EPUCHINA_lag12,0.0031493923161178827,macro_x_macro
Oil_Price_lag6,Fiscal_Exp_Growth_lag6,0.003051341976970434,macro_x_macro
Fiscal_Exp_Growth_lag2,INF_Sentiment_lag1,0.0030489922501146793,nlp_x_macro
Core_CPI_lag2,Fiscal_Exp_Growth_lag12,0.003036470152437687,macro_x_macro
Oil_Price_lag6,EPUCHINA_lag12,0.0030119954608380795,macro_x_macro
EPUCHINA_lag12,Fiscal_Exp_Growth_lag6,0.003001492703333497,macro_x_macro
M2_Growth_lag12,TXT_Ambiguity_lag2,0.002994388109073043,nlp_x_macro
DRV_Monetary_lag6,TXT_Confidence_lag12,0.002955698873847723,nlp_x_nlp
M2_Growth_lag6,Fiscal_Exp_Growth_lag1,0.002939328085631132,macro_x_macro
PMI_Output_Price_lag6,Fiscal_Exp_Growth_lag2,0.0029228185303509235,macro_x_macro
M2_Growth_lag3,Fiscal_Exp_Growth_lag2,0.0029037990607321262,macro_x_macro
Core_CPI_lag12,M2_Growth_lag2,0.002884994726628065,macro_x_macro
Exchange_Rate_lag3,Fiscal_Exp_Growth_lag6,0.0028805281035602093,macro_x_macro
M2_Growth_lag1,PPI_lag12,0.0028763767331838608,macro_x_macro
PPI_lag3,Fiscal_Exp_Growth_lag6,0.002824722323566675,macro_x_macro
PPI_lag12,Fiscal_Exp_Growth_lag1,0.002818782813847065,macro_x_macro
Fiscal_Exp_Growth_lag12,DRV_External_lag2,0.002794131636619568,nlp_x_macro
Oil_Price_lag2,EPUCHINA_lag2,0.002790571190416813,macro_x_macro
M2_Growth_lag12,TXT_Confidence_lag2,0.002750139217823744,nlp_x_macro
M2_Growth_lag1,M2_Growth_lag3,0.002738530747592449,macro_x_macro
M2_Growth_lag12,Exchange_Rate_lag3,0.0027381819672882557,macro_x_macro
Oil_Price_lag2,Oil_Price_lag6,0.0027165948413312435,macro_x_macro
M2_Growth_lag2,Exchange_Rate_lag12,0.0027159294113516808,macro_x_macro
Fiscal_Exp_Growth_lag1,DRV_Supply_lag1,0.0026788688264787197,nlp_x_macro
M2_Growth_lag6,Oil_Price_lag2,0.002651854883879423,macro_x_macro
Oil_Price_lag2,DRV_External_lag1,0.0026450101286172867,nlp_x_macro
PMI_Output_Price_lag6,Fiscal_Exp_Growth_lag6,0.002635451266542077,macro_x_macro
M2_Growth_lag6,DRV_Demand_lag1,0.002620405051857233,nlp_x_macro
M2_Growth_lag6,EPUCHINA_lag2,0.002537294290959835,macro_x_macro
M2_Growth_lag3,EPUCHINA_lag3,0.0025063082575798035,macro_x_macro
Core_CPI_lag2,Oil_Price_lag12,0.0024987109936773777,macro_x_macro
Oil_Price_lag1,Fiscal_Exp_Growth_lag1,0.00249853334389627,macro_x_macro
M2_Growth_lag12,Exchange_Rate_lag1,0.002494160085916519,macro_x_macro
Core_CPI_lag3,M2_Growth_lag1,0.00244971364736557,macro_x_macro
PPI_lag2,Oil_Price_lag2,0.0024355517234653234,macro_x_macro
Exchange_Rate_lag12,Fiscal_Exp_Growth_lag1,0.002418395597487688,macro_x_macro
Fiscal_Exp_Growth_lag6,DRV_External_lag1,0.0024107308126986027,nlp_x_macro
M2_Growth_lag12,TXT_Confidence_lag12,0.0024056853726506233,nlp_x_macro
Oil_Price_lag2,POL_Priority_lag2,0.002382819540798664,nlp_x_macro
Fiscal_Exp_Growth_lag6,TXT_Confidence_lag6,0.002373863011598587,nlp_x_macro
EPUCHINA_lag3,TXT_Ambiguity_lag3,0.002373413648456335,nlp_x_macro
Fiscal_Exp_Growth_lag1,Fiscal_Exp_Growth_lag12,0.0023702718317508698,macro_x_macro
M2_Growth_lag6,POL_Priority_lag12,0.0023673372343182564,nlp_x_macro
M2_Growth_lag1,Fiscal_Exp_Growth_lag2,0.0023420173674821854,macro_x_macro
M2_Growth_lag12,PMI_Output_Price_lag2,0.002337775658816099,macro_x_macro
Core_CPI_lag1,M2_Growth_lag6,0.0023086173459887505,macro_x_macro
Exchange_Rate_lag3,Fiscal_Exp_Growth_lag2,0.0022983173839747906,macro_x_macro
Fiscal_Exp_Growth_lag2,TXT_Confidence_lag1,0.00227216980420053,nlp_x_macro
